etat,bucket,file,dur,start,end,src
CORTEX,FRAGMENTS,A19_v3_cortex_ambiance.wav,3.551,501.381,504.932,ambiance opacité fin V6 Cortex ambiance.wav
CORTEX,FRAGMENTS,A20_v3_cortex_ambiance.wav,5.092,551.057,556.149,ambiance opacité fin V6 Cortex ambiance.wav
CORTEX,FRAGMENTS,A21_v3_cortex_ambiance.wav,2.867,566.678,569.546,ambiance opacité fin V6 Cortex ambiance.wav
CORTEX,FRAGMENTS,A22_v3_cortex_ambiance.wav,3.41,573.965,577.375,ambiance opacité fin V6 Cortex ambiance.wav
CORTEX,FRAGMENTS,A23_v3_cortex_ambiance.wav,11.506,579.169,590.675,ambiance opacité fin V6 Cortex ambiance.wav
CORTEX,FRAGMENTS,A24_v3_cortex_ambiance.wav,17.389,591.913,609.302,ambiance opacité fin V6 Cortex ambiance.wav
CORTEX,FRAGMENTS,A25_v3_cortex_ambiance.wav,9.867,621.758,631.625,ambiance opacité fin V6 Cortex ambiance.wav
CORTEX,FRAGMENTS,A26_v3_cortex_ambiance.wav,4.604,640.228,644.832,ambiance opacité fin V6 Cortex ambiance.wav
CORTEX,FRAGMENTS,A27_v3_cortex_ambiance.wav,3.429,689.807,693.236,ambiance opacité fin V6 Cortex ambiance.wav
CORTEX,FRAGMENTS,A28_v3_cortex_ambiance.wav,5.919,708.195,714.115,ambiance opacité fin V6 Cortex ambiance.wav
CORTEX,FRAGMENTS,A29_v3_cortex_ambiance.wav,2.454,715.219,717.673,ambiance opacité fin V6 Cortex ambiance.wav
CORTEX,FRAGMENTS,A30_v3_cortex_ambiance.wav,2.76,728.037,730.797,ambiance opacité fin V6 Cortex ambiance.wav
CORTEX,FRAGMENTS,A31_v3_cortex_ambiance.wav,2.287,733.894,736.181,ambiance opacité fin V6 Cortex ambiance.wav
CORTEX,FRAGMENTS,A32_v3_cortex_ambiance.wav,4.218,747.073,751.292,ambiance opacité fin V6 Cortex ambiance.wav
CORTEX,FRAGMENTS,A33_v3_cortex_ambiance.wav,13.987,969.663,983.65,ambiance opacité fin V6 Cortex ambiance.wav
CORTEX,FRAGMENTS,A34_v3_cortex_ambiance.wav,4.448,988.183,992.631,ambiance opacité fin V6 Cortex ambiance.wav
CORTEX,FRAGMENTS,A35_v3_cortex_ambiance.wav,3.433,997.822,1001.255,ambiance opacité fin V6 Cortex ambiance.wav
CORTEX,FRAGMENTS,A36_v3_cortex_ambiance.wav,5.276,1016.044,1021.32,ambiance opacité fin V6 Cortex ambiance.wav
CORTEX,FRAGMENTS,A37_v3_cortex_ambiance.wav,2.562,1091.695,1094.257,ambiance opacité fin V6 Cortex ambiance.wav
CORTEX,FRAGMENTS,A38_v3_cortex_ambiance.wav,23.634,1104.187,1127.821,ambiance opacité fin V6 Cortex ambiance.wav
CORTEX,FRAGMENTS,A39_v3_cortex_ambiance.wav,13.436,1131.985,1145.421,ambiance opacité fin V6 Cortex ambiance.wav
CORTEX,FRAGMENTS,A40_v3_cortex_ambiance.wav,15.801,1152.136,1167.937,ambiance opacité fin V6 Cortex ambiance.wav
CORTEX,FRAGMENTS,A41_v3_cortex_ambiance.wav,12.685,1170.433,1183.118,ambiance opacité fin V6 Cortex ambiance.wav
CORTEX,FRAGMENTS,A42_v3_cortex_ambiance.wav,2.297,1186.012,1188.309,ambiance opacité fin V6 Cortex ambiance.wav
CORTEX,FRAGMENTS,C002_v3_cortex.wav,1.996,36.134,38.129,ambiance opacité fin V6 Cortex.wav
CORTEX,FRAGMENTS,C003_v3_cortex.wav,5.276,40.044,45.32,ambiance opacité fin V6 Cortex.wav
CORTEX,FRAGMENTS,C004_v3_cortex.wav,0.996,61.086,62.082,ambiance opacité fin V6 Cortex.wav
CORTEX,FRAGMENTS,C005_v3_cortex.wav,0.965,82.502,83.467,ambiance opacité fin V6 Cortex.wav
CORTEX,FRAGMENTS,C006_v3_cortex.wav,11.39,124.839,136.229,ambiance opacité fin V6 Cortex.wav
CORTEX,FRAGMENTS,C007_v3_cortex.wav,0.684,137.636,138.321,ambiance opacité fin V6 Cortex.wav
CORTEX,FRAGMENTS,C008_v3_cortex.wav,5.264,140.602,145.866,ambiance opacité fin V6 Cortex.wav
CORTEX,FRAGMENTS,C009_v3_cortex.wav,1.799,147.783,149.582,ambiance opacité fin V6 Cortex.wav
CORTEX,FRAGMENTS,C010_v3_cortex.wav,2.808,156.316,159.124,ambiance opacité fin V6 Cortex.wav
CORTEX,FRAGMENTS,C012_v3_cortex.wav,2.454,176.719,179.173,ambiance opacité fin V6 Cortex.wav
CORTEX,FRAGMENTS,C013_v3_cortex.wav,10.03,183.987,194.016,ambiance opacité fin V6 Cortex.wav
CORTEX,FRAGMENTS,C014_v3_cortex.wav,8.524,196.158,204.682,ambiance opacité fin V6 Cortex.wav
CORTEX,FRAGMENTS,C016_v3_cortex.wav,10.345,229.991,240.336,ambiance opacité fin V6 Cortex.wav
