fichier,etat,bucket,duree,src,t_debut,t_fin,famille,tags,usage_prefere,notes
A44_v3_cortex_ambiance.wav,CORTEX,AMBIANCE,16.786,ambiance opacité fin V6 Cortex ambiance.wav,1460.731,1477.518,,,,
A45_v3_cortex_ambiance.wav,CORTEX,AMBIANCE,14.641,ambiance opacité fin V6 Cortex ambiance.wav,1488.078,1502.72,,,,
A46_v3_cortex_ambiance.wav,CORTEX,AMBIANCE,25.933,ambiance opacité fin V6 Cortex ambiance.wav,1510.086,1536.019,,,,
A47_v3_cortex_ambiance.wav,CORTEX,AMBIANCE,3.949,ambiance opacité fin V6 Cortex ambiance.wav,1543.981,1547.93,,,,
A48_v3_cortex_ambiance.wav,CORTEX,AMBIANCE,51.854,ambiance opacité fin V6 Cortex ambiance.wav,1560.163,1612.017,,,,
A49_v3_cortex_ambiance.wav,CORTEX,AMBIANCE,32.035,ambiance opacité fin V6 Cortex ambiance.wav,1619.982,1652.017,,,,
A50_v3_cortex_ambiance.wav,CORTEX,AMBIANCE,58.035,ambiance opacité fin V6 Cortex ambiance.wav,1655.983,1714.018,,,,
A51_v3_cortex_ambiance.wav,CORTEX,AMBIANCE,60.035,ambiance opacité fin V6 Cortex ambiance.wav,1717.983,1778.018,,,,
A52_v3_cortex_ambiance.wav,CORTEX,AMBIANCE,58.783,ambiance opacité fin V6 Cortex ambiance.wav,1801.047,1859.83,,,,
A53_v3_cortex_ambiance.wav,CORTEX,AMBIANCE,29.512,ambiance opacité fin V6 Cortex ambiance.wav,1864.062,1893.574,,,,
A54_v3_cortex_ambiance.wav,CORTEX,AMBIANCE,53.664,ambiance opacité fin V6 Cortex ambiance.wav,1920.126,1973.79,,,,
A55_v3_cortex_ambiance.wav,CORTEX,AMBIANCE,28.746,ambiance opacité fin V6 Cortex ambiance.wav,1976.11,2004.856,,,,
A56_v3_cortex_ambiance.wav,CORTEX,AMBIANCE,59.861,ambiance opacité fin V6 Cortex ambiance.wav,2010.012,2069.873,,,,
A57_v3_cortex_ambiance.wav,CORTEX,AMBIANCE,12.828,ambiance opacité fin V6 Cortex ambiance.wav,2072.19,2085.018,,,,
A58_v3_cortex_ambiance.wav,CORTEX,AMBIANCE,20.61,ambiance opacité fin V6 Cortex ambiance.wav,2091.261,2111.871,,,,
A59_v3_cortex_ambiance.wav,CORTEX,AMBIANCE,59.736,ambiance opacité fin V6 Cortex ambiance.wav,2119.989,2179.725,,,,
A60_v3_cortex_ambiance.wav,CORTEX,AMBIANCE,15.995,ambiance opacité fin V6 Cortex ambiance.wav,2181.598,2197.593,,,,
A61_v3_cortex_ambiance.wav,CORTEX,AMBIANCE,50.411,ambiance opacité fin V6 Cortex ambiance.wav,2220.385,2270.796,,,,
A62_v3_cortex_ambiance.wav,CORTEX,AMBIANCE,36.673,ambiance opacité fin V6 Cortex ambiance.wav,2280.11,2316.784,,,,
A63_v3_cortex_ambiance.wav,CORTEX,AMBIANCE,90.762,ambiance opacité fin V6 Cortex ambiance.wav,2336.595,2427.357,,,,
A64_v3_cortex_ambiance.wav,CORTEX,AMBIANCE,62.677,ambiance opacité fin V6 Cortex ambiance.wav,2464.352,2527.029,,,,
A65_v3_cortex_ambiance.wav,CORTEX,AMBIANCE,41.63,ambiance opacité fin V6 Cortex ambiance.wav,2580.327,2621.956,,,,
A66_v3_cortex_ambiance.wav,CORTEX,AMBIANCE,59.838,ambiance opacité fin V6 Cortex ambiance.wav,2639.981,2699.819,,,,
A67_v3_cortex_ambiance.wav,CORTEX,AMBIANCE,59.829,ambiance opacité fin V6 Cortex ambiance.wav,2715.981,2775.81,,,,
A68_v3_cortex_ambiance.wav,CORTEX,AMBIANCE,59.641,ambiance opacité fin V6 Cortex ambiance.wav,2780.35,2839.991,,,,
A69_v3_cortex_ambiance.wav,CORTEX,AMBIANCE,14.909,ambiance opacité fin V6 Cortex ambiance.wav,2879.985,2894.894,,,,
C001_v3_cortex.wav,CORTEX,LONG_MOYEN,16.454,ambiance opacité fin V6 Cortex.wav,0.0,16.454,,,,
C002_v3_cortex.wav,CORTEX,FRAGMENTS,1.996,ambiance opacité fin V6 Cortex.wav,36.134,38.129,,,,
C003_v3_cortex.wav,CORTEX,FRAGMENTS,5.276,ambiance opacité fin V6 Cortex.wav,40.044,45.32,,,,
C004_v3_cortex.wav,CORTEX,FRAGMENTS,0.996,ambiance opacité fin V6 Cortex.wav,61.086,62.082,,,,
C005_v3_cortex.wav,CORTEX,FRAGMENTS,0.965,ambiance opacité fin V6 Cortex.wav,82.502,83.467,,,,
C006_v3_cortex.wav,CORTEX,FRAGMENTS,11.39,ambiance opacité fin V6 Cortex.wav,124.839,136.229,,,,
C007_v3_cortex.wav,CORTEX,FRAGMENTS,0.684,ambiance opacité fin V6 Cortex.wav,137.636,138.321,,,,
C008_v3_cortex.wav,CORTEX,FRAGMENTS,5.264,ambiance opacité fin V6 Cortex.wav,140.602,145.866,,,,
C009_v3_cortex.wav,CORTEX,FRAGMENTS,1.799,ambiance opacité fin V6 Cortex.wav,147.783,149.582,,,,
C010_v3_cortex.wav,CORTEX,FRAGMENTS,2.808,ambiance opacité fin V6 Cortex.wav,156.316,159.124,,,,
C011_v3_cortex.wav,CORTEX,LONG_MOYEN,14.536,ambiance opacité fin V6 Cortex.wav,161.079,175.615,,,,
