etat,bucket,file,dur,start,end,src
HIPPOCAMPE,ECART,H012_v2_hippocampe.wav,2.041,92.009,94.05,opacité fin V2  Hippocampe.wav
HIPPOCAMPE,ECART,H013_v2_hippocampe.wav,1.533,96.362,97.895,opacité fin V2  Hippocampe.wav
HIPPOCAMPE,OK,H014_v2_hippocampe.wav,5.118,101.641,106.759,opacité fin V2  Hippocampe.wav
HIPPOCAMPE,SOUPLE,H015_v2_hippocampe.wav,4.801,112.134,116.935,opacité fin V2  Hippocampe.wav
HIPPOCAMPE,ECART,H016_v2_hippocampe.wav,4.408,121.239,125.647,opacité fin V2  Hippocampe.wav
HIPPOCAMPE,ECART,H017_v2_hippocampe.wav,2.176,129.963,132.139,opacité fin V2  Hippocampe.wav
HIPPOCAMPE,ECART,H018_v2_hippocampe.wav,2.13,138.621,140.752,opacité fin V2  Hippocampe.wav
HIPPOCAMPE,SOUPLE,H019_v2_hippocampe.wav,11.183,142.779,153.962,opacité fin V2  Hippocampe.wav
HIPPOCAMPE,ECART,H020_v2_hippocampe.wav,1.424,155.133,156.557,opacité fin V2  Hippocampe.wav
HIPPOCAMPE,ECART,H021_v2_hippocampe.wav,12.809,157.429,170.238,opacité fin V2  Hippocampe.wav
HIPPOCAMPE,ECART,H022_v2_hippocampe.wav,3.909,172.104,176.013,opacité fin V2  Hippocampe.wav
HIPPOCAMPE,ECART,H023_v2_hippocampe.wav,1.352,179.986,181.339,opacité fin V2  Hippocampe.wav
HIPPOCAMPE,ECART,H024_v2_hippocampe.wav,0.952,187.107,188.059,opacité fin V2  Hippocampe.wav
HIPPOCAMPE,ECART,H025_v2_hippocampe.wav,3.264,189.984,193.248,opacité fin V2  Hippocampe.wav
HIPPOCAMPE,ECART,H026_v2_hippocampe.wav,0.912,196.061,196.973,opacité fin V2  Hippocampe.wav
HIPPOCAMPE,SOUPLE,H027_v2_hippocampe.wav,4.608,199.046,203.654,opacité fin V2  Hippocampe.wav
HIPPOCAMPE,OK,H028_v2_hippocampe.wav,9.441,212.68,222.12,opacité fin V2  Hippocampe.wav
HIPPOCAMPE,ECART,H029_v2_hippocampe.wav,2.03,223.98,226.01,opacité fin V2  Hippocampe.wav
HIPPOCAMPE,SOUPLE,H030_v2_hippocampe.wav,4.999,232.002,237.0,opacité fin V2  Hippocampe.wav
HIPPOCAMPE,ECART,H031_v2_hippocampe.wav,2.475,239.988,242.463,opacité fin V2  Hippocampe.wav
HIPPOCAMPE,OK,H032_v2_hippocampe.wav,7.334,250.932,258.266,opacité fin V2  Hippocampe.wav
HIPPOCAMPE,ECART,H033_v2_hippocampe.wav,4.455,260.035,264.49,opacité fin V2  Hippocampe.wav
HIPPOCAMPE,ECART,H034_v2_hippocampe.wav,2.148,268.169,270.317,opacité fin V2  Hippocampe.wav
RECONSTRUCTION,COURT,R001_v2_reconstruction.wav,1.988,0.0,1.988,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R002_v2_reconstruction.wav,2.502,2.504,5.006,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R003_v2_reconstruction.wav,1.708,5.556,7.264,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R004_v2_reconstruction.wav,0.618,7.99,8.608,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R005_v2_reconstruction.wav,1.155,9.989,11.144,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R006_v2_reconstruction.wav,1.157,12.983,14.141,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R007_v2_reconstruction.wav,1.256,14.983,16.238,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R008_v2_reconstruction.wav,0.778,24.004,24.783,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R009_v2_reconstruction.wav,1.168,26.483,27.651,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R010_v2_reconstruction.wav,4.049,31.983,36.032,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,MOYEN,R011_v2_reconstruction.wav,11.775,39.983,51.758,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R012_v2_reconstruction.wav,0.866,59.984,60.85,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,MOYEN,R013_v2_reconstruction.wav,5.036,63.982,69.019,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R014_v2_reconstruction.wav,2.502,80.022,82.525,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R015_v2_reconstruction.wav,1.032,105.987,107.019,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R016_v2_reconstruction.wav,0.789,113.981,114.77,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R017_v2_reconstruction.wav,1.286,120.483,121.769,opacité fin V2  Reconstruction.wav
RECONSTRUCTION,COURT,R018_v2_reconstruction.wav,1.035,146.087,147.122,opacité fin V2  Reconstruction.wav
